name,Photo URL,Created At,Updated At,objectid,title,creator,date,date_range,description,condition_notes,language,building,room,wall_row,shelf,notes
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/0f970f97-c322-4131-9936-9aa5120803eb/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152046Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=a5891ded7c992c6bbdf7d086a08aaaa05638e1af449bb7f39ebee4295700b6f15d8b5f9ba1f8c1f37808478fde4e574669c3726825b07c48d6b5056176d0a12556685c9a052c3918d2b635da888d9a4d5f9ddab7199b358051f8723a52c8bc3707be2e14a9238a941f6daf3f1706a69c46a77433685f83e4421bc4655e07cae4064a1493efb15cd26e0d6001d48ab3e2407d7e59fa7a5a8ec817e6f58dc14cf3a90c16b4cc4848ee2cef0814ebc7e0832a3dc15f33f88a5bb601216075ed6e0442e3302c728522aadc2e795e1962428924eae291f86bb2e7ccb538e1ffc647d35c7cec2f3b0579fa3b7eebde2a6a55d122489f35107beaf19d357f5b0b4baf34,2026-06-12 17:28:28,2026-06-12 18:51:43,101,Handbuch Der Uniformkunde,George F. Collie,1937,,Has a blue cloth cover with yellow lettering.,,German,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/65a6aac9-6da5-460c-ba9b-687ccbf6f131/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152046Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=0bb93c243e1b65665da1490128cd657d707520d7b31c161f94ad9ae33ce6524794e1024c51517f2cea5fb4bc4094d601b594593c239915f6a1b9ec18b7f57b15b04c8efa8623c8ae31649e9f2f3e87abb609219d1a3d6d62c4f0d423b91748ae34d2344594ad5532a334d6a50c4198692c01011ff552732b96c37cff336731bf02e932373cdbdae0880f65bcdad8438863efd1cccf0fd028571e275985b225891ddec8dbb06323552a58b03ba87cc402d6bd78f0379f5a38623bbc75af37b38013fb7b6ea575f3f439448eac57b65bfbb2964a14a32d932bc9b24de11306140d2aa7a8e0e856a5249fbec0015a5ad1cee9d24f6cc325eac178c4430b835d98b5,2026-06-12 18:05:42,2026-06-12 18:52:31,102,Highland Dress,W. Y. Carman,1948,,"Green, blue, and red plaid cover.",The spine is partially detached.,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/3a849a57-d3ee-4466-a54f-d141807b7d4a/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152046Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=7d442ed94c1f3ff6deb7d3aee1bbce96fdd506587d4022dde616d6417834475d8c1bd894ecba9b5644dd4fe26b772d8bab8de42fef6389eadbbc061fc0ac1f5856bb764be56e638ac5cb4edacb225b019c09f55eff08daba5e43779be599343481fec04b15e9d7c639880479353ab3d4edebdd096b2ab376e937079ce3eaa6c1fe4830979628640baee9b989fafbcedb29f9bfe35b4c20cb1e90534af8a1f1f424e6d491d2087c7d319bb274fe0ffc14d45f006ac8df86942367f2094589e669892a7309d2105d8b1078acb4f7c270f2e5eed2d267e24fdf9fb60514937ae4e8cb3adf1472c691b73e6813597d7136d442e5ff93a399c4a246b9d1ca6dae0d35,2026-06-12 18:05:42,2026-06-12 18:52:48,104,"British Military Uniforms: From Contemporary Pictures, Henry VII To The Present Day",Dion Williams,1957,,Red cover with gold lettering and gold illustration on the front cover. There is an insert that is likely the original dust cover on the inside that is loose.,,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/d2db7d67-d66d-4659-ad19-649189f9c687/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152045Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=62d4fe536bd0d04d7a269078bc5719d691d6bd27fa65d97e9d01cb4a928cecf515aef844d5f7092ed645f96499cb97c3b3cf7d99a3b2f646cb3df4c080077c79e35c9eb52fd9c75313288d9d87c1c8ab1e48cda3434cf485f757e476c32faba014a867dab372c61011d7e7e57946401ff4a004147a49338a5345e075c5e99056d230e17b5ce0bb531afce662060ce144b340956531ba83f833d6cc4205edefda963c2c9c27bfb31a1f98fba01f85456c35c83b7733f4cf5437c5fb4a75305d4a63cbddfff61af509f4a70298afb760e3d255e00d936e8187b01e3b51ca06f9ed9dd6346c1732ec17d564412dfebaab983df60317daadf195ae1cc6d18c14753b,2026-06-12 18:05:42,2026-06-12 18:55:39,130,Army And Navy Uniforms And Insignia,Cecil C. P. Lawson,1918,,Dark blue cover with gold lettering.,There is some slight wear and tear on the top of the spine.,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/136dc314-6da9-4d07-a898-3727e7d52b42/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152045Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=392f5ecefd40a1057b3933234abed0c4a81f50414d61c53a80b06ccd2ceaae014995e191abf0e31bb38331ba61904a5c7ad628c8e71b300ddcd11c097c631137435cb9ec95c492da033baf39b9571847b8a0fb783724786067fb4520fc239fa35c3a5189631596026f987bf45ba392d4e10d20e643d9460428693239e43a1e8714fc5b5e96c63b66f293802e3e03c303ecb015fdb4e9bee36eadf8975ad401ba942df79d042f90873b21dc9ae8f70d9f30cb16e5d5cadc6db81229667f5587837d72065733432cebc1ba9479e194edc0e2e050e3f347b503b0833f627bf67470e6a3323111b56d08985584fcc5694adc8b4aad2efa625b18a5713c9368be51b1,2026-06-12 18:05:42,2026-06-12 18:05:42,136,"A History Of The Uniforms Of The British Army, Volume I",Cecil C. P. Lawson,1940,,Tan cover with red and black lettering and black illustration.,,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/d77a20f5-32cc-46fa-aa7f-98ff4b1a4507/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152045Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=7fcad529037def01f16296a8d2ceab83f9a6dbc2605b8a3eb6b5e168e7a737eacab888ec5a3efd3ba3c06f8bc62812c263ca33abd5b12b6e0c45bc35f7512e6cd0f1861f076ec6001a9d6919de3baae5204c2539f9a1f229aa83eda0ae3bb9b532785cb23267904b4da0e74763a609308667b101e2a8d4acef66dbec52122725901786478cfb577df341d5905f0fed48582542038a9d14153f1a524fd672898aac70068a37cb0eb633f1bbe3fd094a1007e09436ef1ded8d284424788ed3cc4d95d31b18216f80744dda28a0b989feea042d1b85110bc65220aba2ac0ce1d08295df1d103c8025bc2a6953c62d8dca7608b48ea8f68c76631456bc5e35a722bc,2026-06-12 18:05:42,2026-06-12 18:56:40,137,"A History Of The Uniforms Of The British Army, Volume II",Lieut.-Colonel John Luard,1941,,Tan cover with black and red lettering and black illustration on the front cover.,,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/b665de1e-6261-440c-b5c7-8954f3846d29/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152044Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=590713b35a764947d15e2a69af327c7a11e6c653e73703e8ca168f866afbb10260a373b466e8dd49a1fb0c420e45c5c38c90d4106b6d7ee7ef37ab0da2b8810921d4449fbd3f5c58f42d1066e293619e26b4d4c155a574dd52a384fcc2ac3b45ddf68b72dcfab791213e6fbc0da88a9dbaf47581aea504de3acd265e60cc2a5c46e5c709739db5fe791fd7b4351540b8cb8d44e83d1c4a244c7d06d5b4b6effceb38816dda12ef2f64bac50861e42544b780488086fb300c09b3ed4e0746a81acf9c8eb8a1c05a437b2f5646141b2b60ec1c235d724b681abb91109e017d93485177fc1235c2b990bfb9ace3ebe98577fb5d691c328659a2fb5910e91c1b02aa,2026-06-12 18:05:42,2026-06-12 19:00:16,138,"A History Of The Dress Of The British Soldier, From The Earliest Period To The Present Time",,1852,,Housed in a Mylar sleeve. The cover is a dark blue with gold lettering and illustration.,,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/44ce007e-788b-4fb5-b874-3ae879359b0e/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152045Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=740ce6f36e025e788569fa3e184d81025a4fb817cb32f4786a3de6ad5193fdee1117d7f497e5e8be7add1b566e9a2cebf01739a1cd0c8414366252a63084dc99350fc137f571e761d1f1296d3918746c1b973d44aa7787db2c8b953164bc2c21c27aca055378e486e99e1a0164d7a38d35ca6ea627e2dd2d433d9497de147f7fc67b6e8a2ef88ff9f8e19e4ff7b6b0e645fe1fb7feb79efbdf08b328c5960f7c76caf1a4be2f2f9c5e26745ec2e8ca1361cbedbce3df60c4cd417153d86ea90a55a6aa99c607f6b78064196d9b493e76edca807531ec81c782a7d71356c0664f6832b5b4329f233acc4ab6cfd38f5d869f03724a482cdf2cc17ed1b53a94e081,2026-06-12 18:20:15,2026-06-12 18:20:15,139,A History Of The Regiments & Uniforms Of The British Army,Ralph Nevill,1951,,It has a red cover with a black box and gold lettering on the spine. It was published first in 1950 with a second edition in 1951.,,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/05eca37c-363b-450c-bdd4-0a325cb7b594/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152045Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=157eba65b081478d201eb27432f21845c287bd4ce25429723a7eb30bd696e83a576122e6e4752765f4dcffde1d9bcd1b8c20edd5345019b020fa26ee342c1e0fd9299ad0897f65eb8d451488423f4a6b7bf10eeed377fe417b1fca7347f85a5f41538bc04b028ecb015ed8b1e20d0e045d54d4263f8eac5e9db966bfc924f58e1341fd132611d57b5386b3eac4b7e9fcc9547b97d16c8cf636efbbfd385f741ecfa7370f0b3a181bd174fbcbe91271a9655b8b022f31c8d1a7dfa35312c97b6f79409445b28176c140c7a37ffcc8dfb8aeff060ae8d241d3452674de89b92c7ac9608b1d80e5715c8f549baaefa8c6c2abdf203d5ee3003256060954ea77c88b,2026-06-12 18:20:15,2026-06-12 18:20:15,140,British Military Prints,James Laver,1909,,It has a red cover with gold lettering on the spine and an illustration on the front cover.,,English,TPRC,FF6,1,1,
Book,https://storage.googleapis.com/vlgo-site-567f8-una-media/inventory/8a92e4fa-ec38-4d1c-8a9e-814f97558b68/40e2363b-6581-49fd-a45d-846b1d3a82d3/image.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vertex-ai-app%40vlgo-site-567f8.iam.gserviceaccount.com%2F20260615%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20260615T152046Z&X-Goog-Expires=3599&X-Goog-SignedHeaders=host&X-Goog-Signature=5ac8d6113c67abf5665e2368d891a58792697854c1c09c27bc1ddd3a3736a8cc047d95c8a3ac742d537fbf7ff130b9ffe23cfa925adac0fc8d8a3eb9e5e546468586ba715302e6bebdc5b84902f5925b5c89aa7d591ff8e3fd02747e91faee169bec82ab06dda0df786abb9134379c176fa9b6bbf0400b5070f5d0c7ac89a298e2892339ba549a31a0791b86650b26640b734cd7f2259914947cc2c6e5ab134f73fb485147afd35e19c3931a90fdb796199709344b9cbf624d6a03eafb8f0ddfb3e996c6e25a948665006e066a49dbad5eb926e5c65e8b39b9b5955ffd1a05fbd2af4aba6797fa4dc22441b0f71a3d8b705fe1dc94a4b374563202134418875c,2026-06-12 18:20:15,2026-06-12 18:20:15,141,British Military Uniforms,,1948,,It has a slim red spine with a white cup cover and red lettering.,,English,TPRC,FF6,1,1,
